Phase,Phase Title,Item Key,Item Label,Description,Has Coordinator Topic,Tab Link
"1","Getting Started","week1_onboarding","Week 1 Onboarding","This week your trainer walks you through AFF's flagship products and the reasons behind them. By the end of the week you'll understand exactly what you're offering to clients and why it matters.","",""
"1","Getting Started","connect_discord","Connect Discord","Join the AFF Discord server and link your account so you get access to your phase training channels, weekly training reminders, and team resources. Use the button below to connect — it takes 10 seconds.","",""
"1","Getting Started","licensing_class","Licensing Class / Schedule Test","Schedule your pre-licensing course and exam with the licensing coordinator. They'll walk you through the process, help you pick a test date, and answer any questions along the way. Use the button below to reach them directly.","SCHEDULE_EXAM",""
"1","Getting Started","pfr","Personal Financial Review","Sit down with your trainer for your own Personal Financial Review. This is both a real planning session for your finances and your first hands-on experience with the tool you'll use to help families.","",""
"1","Getting Started","fast_start_school","Fast Start School","A company-wide walkthrough of what to focus on in your first 30 days. Held Saturdays at 11am Eastern — your trainer will send you the link and details.","",""
"1","Getting Started","week2_onboarding","Week 2 Onboarding","This week you'll build out your lead-generation marketing plan with your trainer. Come prepared with ideas about your natural market.","",""
"1","Getting Started","business_marketing_plan","Business Marketing Plan","Work with your CFT to build your personal Business Marketing Plan. This becomes your 90-day playbook: target market, daily activity targets, and growth goals.","",""
"1","Getting Started","pass_license_test","Pass Life License Test","Pass your state life insurance exam. The moment you pass, schedule your post-licensing call with the licensing coordinator and your EMD — that's where your next steps get mapped out. Use the button below to reach out.","PASS_POST_LICENSING",""
"1","Getting Started","fingerprints_apply","Fingerprints + Apply for License","Schedule your fingerprinting and file your state license application. The licensing coordinator handles this with you — use the button below to send a request.","FINGERPRINTS_APPLY",""
"1","Getting Started","submit_to_aff","Submit to GFI","This is what gets you appointed to all of the different carriers. The licensing coordinator handles the submission for you — send a request directly from this item.","GFI_APPOINTMENTS",""
"1","Getting Started","ce_courses","Complete CE Courses (AML, Annuity & Ethics)","Complete your Continuing Education courses: AML, Annuity, and Ethics. The licensing coordinator will point you to the provider and help you past any snags.","CE_COURSES",""
"1","Getting Started","errors_and_omissions","Errors & Omissions Insurance","Apply for your Errors & Omissions (E&O) insurance policy. The licensing coordinator walks you through the application.","EO_INSURANCE",""
"1","Getting Started","direct_deposit","Set Up Direct Deposit","Set up direct deposit so your commissions land in your account automatically. The licensing coordinator will help you finish this.","DIRECT_DEPOSIT",""
"1","Getting Started","week3_onboarding","Week 3 Onboarding","This week you'll start scheduling Field Training Appointments (FTAs) with your Certified Field Trainer.","",""
"1","Getting Started","master_scripts","Master Scripts","Learn the scheduling and presentation scripts you'll use on your Field Training calls. Drill them until they feel natural.","",""
"1","Getting Started","schedule_10_trainings","Schedule 10 Training Appointments","Schedule your first 10 Field Training Appointments alongside your trainer. Once these are booked, you're ready to move into Phase 2.","","partners"
"2","Field Training","3_business_partners","3 Business Partners","Identify the first 3 people from your network you'd like to introduce to the AFF opportunity. Your trainer will guide you through the conversations — these become the foundation for your field training.","","partners"
"2","Field Training","fta_1","Field Training 1 (Spouse / Parents)","Your first Field Training Appointment — a live appointment with your CFT trainer. FTA 1 is typically with your immediate family (spouse, parents) to practice in a supportive environment.","","partners"
"2","Field Training","fta_2","Field Training 2","Field Training Appointment 2 — continue building confidence running live appointments alongside your CFT trainer.","","partners"
"2","Field Training","fta_3","Field Training 3","Field Training Appointment 3 — your presenter role should be growing. Aim to lead more of the appointment with your trainer observing.","","partners"
"2","Field Training","fta_4","Field Training 4","Field Training Appointment 4.","","partners"
"2","Field Training","fta_5","Field Training 5","Field Training Appointment 5 — halfway point. By now you should feel comfortable with the full AFF presentation flow.","","partners"
"2","Field Training","fta_6","Field Training 6","Field Training Appointment 6.","","partners"
"2","Field Training","fta_7","Field Training 7","Field Training Appointment 7.","","partners"
"2","Field Training","fta_8","Field Training 8","Field Training Appointment 8.","","partners"
"2","Field Training","fta_9","Field Training 9","Field Training Appointment 9.","","partners"
"2","Field Training","fta_10","Field Training 10","Field Training Appointment 10 — completing all 10 FTAs demonstrates you are ready to run appointments independently and begin building your team.","","partners"
"2","Field Training","associate_promotion","Associate Promotion","Officially promoted to Associate level within AFF. This recognizes your completion of Phase 1 requirements and confirms you're ready for independent field work.","",""
"2","Field Training","direct_1","Direct 1","Sponsor and onboard your first direct agent — someone you personally recruited who has joined AFF. Building your team starts here.","","partners"
"2","Field Training","direct_2","Direct 2","Sponsor and onboard your second direct agent on your team.","","partners"
"2","Field Training","direct_3","Direct 3","Sponsor and onboard your third direct agent. Three actives is the foundation of a growing agency.","","partners"
"2","Field Training","client_1","Client Helped 1","Help your first client — complete a full financial needs analysis and present a real solution. Document the case in your Policies tab.","","policies"
"2","Field Training","client_2","Client Helped 2","Help your second client. Each client you serve builds your experience and your track record.","","policies"
"2","Field Training","client_3","Client Helped 3","Help your third client. Three cases demonstrates consistent client service — a major milestone.","","policies"
"2","Field Training","net_license","Net License","Receive and activate your physical or digital life insurance license from your state. You are now fully authorized to sell and earn commissions.","",""
"2","Field Training","first_1000","Make Your 1st $1,000","Earn your first $1,000 in commission from issued and paid policies. This milestone proves the system works — and it's just the start of what's possible.","","policies"
"3","Becoming a CFT","cft_classes","Attend CFT in Progress Classes","Attend CFT (Certified Field Trainer) In Progress sessions hosted by AFF leadership. These are the advanced classes that teach you how to train and develop new agents.","",""
"3","Becoming a CFT","trainer_signoff","Signed Off by Trainer","Your CFT trainer officially signs off that you can run appointments independently and are ready to begin training others. This is a formal milestone in your development.","",""
"3","Becoming a CFT","cft_coordinator_signoff","CFT Coordinator Sign Off","The CFT Coordinator — a senior AFF trainer — reviews your performance and approves your readiness for CFT designation.","",""
"3","Becoming a CFT","emd_signoff","EMD Sign Off","The Elite Marketing Director reviews and signs off on your CFT designation. This is the final approval before you advance to Phase 4.","",""
"3","Becoming a CFT","client_1st_apt","Client 1st Appointment","Run a complete first client appointment independently — conducting the financial needs analysis and presenting the AFF system without your trainer present.","","policies"
"3","Becoming a CFT","client_2nd_apt","Client 2nd Appointment","Run the follow-up (second) appointment independently — presenting personalized solutions and closing the case on your own.","","policies"
"3","Becoming a CFT","phone_call_scripts","Phone Call Scripts","Master all phone scripts: client scheduling calls, recruiting calls, and follow-up calls. Demonstrate the ability to set quality appointments via phone alone.","","calls"
"3","Becoming a CFT","recruiting_interview","Recruiting Interview","Conduct a full recruiting interview with a prospective agent candidate using the official AFF interview process. Document it in your Business Partners tab.","","partners"
"3","Becoming a CFT","system_knowledge","System Knowledge","Demonstrate comprehensive knowledge of the full AFF system: the business model, compensation structure, agent career path, and how to explain it to prospects.","",""
"3","Becoming a CFT","top_5_products","Top 5 Products","Develop working knowledge of the top 5 AFF products. You must be able to identify which product fits each client scenario and explain the core benefits clearly.","",""
"3","Becoming a CFT","fixed_indexed_annuity","Fixed Indexed Annuity","Complete product certification on Fixed Indexed Annuities (FIA) — tax-deferred retirement vehicles with upside tied to a market index and downside protection.","",""
"3","Becoming a CFT","final_expense","Final Expense","Complete training on Final Expense products — simplified-issue permanent life insurance designed to cover end-of-life costs. A key product for the senior market.","",""
"3","Becoming a CFT","term_lb","Term / Term LB","Complete product training on Term Life and Term with Living Benefits. Understand when to recommend pure term vs. term with critical illness or chronic illness riders.","",""
"3","Becoming a CFT","iul_family_bank","IUL / Family Bank","Master the Indexed Universal Life (IUL) / Family Bank strategy — AFF's signature wealth-building product. Clients use it to build tax-free retirement income and a family legacy.","",""
"3","Becoming a CFT","million_dollar_baby","Million Dollar Baby","Complete training on the Million Dollar Baby strategy — an IUL funded for infants or children that grows into a tax-advantaged wealth vehicle over their lifetime.","",""
"4","MD Focus","45k_points","45,000 Points","Accumulate 45,000 production points from issued and paid policies. This is the primary production threshold for Marketing Director (MD) qualification.","","policies"
"4","MD Focus","month1_premium","Month 1 — $1,250 Premium","Maintain at least $1,250 in monthly premium production during Month 1. Consistent monthly premium demonstrates sustainable client activity.","","policies"
"4","MD Focus","month2_premium","Month 2 — $1,250 Premium","Maintain at least $1,250 in monthly premium production during Month 2.","","policies"
"4","MD Focus","month3_premium","Month 3 — $1,250 Premium","Maintain at least $1,250 in monthly premium production during Month 3. Three consecutive months proves you have a repeatable, sustainable business.","","policies"
"4","MD Focus","license_net_1","License 1 (Net)","Net License 1 — an active, licensed agent on your team who you directly or indirectly sponsored. Net means they are currently active and producing.","","partners"
"4","MD Focus","license_net_2","License 2 (Net)","Net License 2 — a second active licensed agent on your team.","","partners"
"4","MD Focus","license_net_3","License 3 (Net)","Net License 3 — a third active licensed agent on your team.","","partners"
"4","MD Focus","license_net_4","License 4 (Net)","Net License 4 — a fourth active licensed agent on your team.","","partners"
"4","MD Focus","license_net_5","License 5 (Net)","Net License 5 — five active licensed agents on your team. This is the team size required to qualify for Marketing Director.","","partners"
"5","EMD Focus","150k_net_6mo","150,000 Net Points in 6 Months","Maintain 150,000 net production points over any consecutive 6-month period. This demonstrates that you are leading a high-performing team, not just an active producer.","","policies"
"5","EMD Focus","1_marketing_director","1 Marketing Director","Develop and promote at least one agent from your team to Marketing Director level. Leadership multiplication — not just your own production — defines the EMD path.","","partners"
"5","EMD Focus","license_1","License 1","Net License 1 of 20 required for EMD — an active licensed agent in your organization.","","partners"
"5","EMD Focus","license_2","License 2","Net License 2 of 20.","","partners"
"5","EMD Focus","license_3","License 3","Net License 3 of 20.","","partners"
"5","EMD Focus","license_4","License 4","Net License 4 of 20.","","partners"
"5","EMD Focus","license_5","License 5","Net License 5 of 20.","","partners"
"5","EMD Focus","license_6","License 6","Net License 6 of 20.","","partners"
"5","EMD Focus","license_7","License 7","Net License 7 of 20.","","partners"
"5","EMD Focus","license_8","License 8","Net License 8 of 20.","","partners"
"5","EMD Focus","license_9","License 9","Net License 9 of 20.","","partners"
"5","EMD Focus","license_10","License 10","Net License 10 of 20 — halfway to EMD team size.","","partners"
"5","EMD Focus","license_11","License 11","Net License 11 of 20.","","partners"
"5","EMD Focus","license_12","License 12","Net License 12 of 20.","","partners"
"5","EMD Focus","license_13","License 13","Net License 13 of 20.","","partners"
"5","EMD Focus","license_14","License 14","Net License 14 of 20.","","partners"
"5","EMD Focus","license_15","License 15","Net License 15 of 20.","","partners"
"5","EMD Focus","license_16","License 16","Net License 16 of 20.","","partners"
